RelativeCompactness,SurfaceArea,WallArea,RoofArea,OverallHeight,GlazingArea,HeatingLoad,CoolingLoad,GlazingAreaDistribution<3?,Orientation<4?
0.98,514.5,294,110.25,7,0,15.55,21.33,1,1
0.98,514.5,294,110.25,7,0,15.55,21.33,1,1
0.98,514.5,294,110.25,7,0,15.55,21.33,1,0
0.98,514.5,294,110.25,7,0,15.55,21.33,1,0
0.9,563.5,318.5,122.5,7,0,20.84,28.28,1,1
0.9,563.5,318.5,122.5,7,0,21.46,25.38,1,1
0.9,563.5,318.5,122.5,7,0,20.71,25.16,1,0
0.9,563.5,318.5,122.5,7,0,19.68,29.6,1,0
0.86,588,294,147,7,0,19.5,27.3,1,1
0.86,588,294,147,7,0,19.95,21.97,1,1
0.86,588,294,147,7,0,19.34,23.49,1,0
0.86,588,294,147,7,0,18.31,27.87,1,0
0.82,612.5,318.5,147,7,0,17.05,23.77,1,1
0.82,612.5,318.5,147,7,0,17.41,21.46,1,1
0.82,612.5,318.5,147,7,0,16.95,21.16,1,0
0.82,612.5,318.5,147,7,0,15.98,24.93,1,0
0.79,637,343,147,7,0,28.52,37.73,1,1
0.79,637,343,147,7,0,29.9,31.27,1,1
0.79,637,343,147,7,0,29.63,30.93,1,0
0.79,637,343,147,7,0,28.75,39.44,1,0
0.76,661.5,416.5,122.5,7,0,24.77,29.79,1,1
0.76,661.5,416.5,122.5,7,0,23.93,29.68,1,1
0.76,661.5,416.5,122.5,7,0,24.77,29.79,1,0
0.76,661.5,416.5,122.5,7,0,23.93,29.4,1,0
0.74,686,245,220.5,3.5,0,6.07,10.9,1,1
0.74,686,245,220.5,3.5,0,6.05,11.19,1,1
0.74,686,245,220.5,3.5,0,6.01,10.94,1,0
0.74,686,245,220.5,3.5,0,6.04,11.17,1,0
0.71,710.5,269.5,220.5,3.5,0,6.37,11.27,1,1
0.71,710.5,269.5,220.5,3.5,0,6.4,11.72,1,1
0.71,710.5,269.5,220.5,3.5,0,6.37,11.29,1,0
0.71,710.5,269.5,220.5,3.5,0,6.4,11.67,1,0
0.69,735,294,220.5,3.5,0,6.85,11.74,1,1
0.69,735,294,220.5,3.5,0,6.79,12.05,1,1
0.69,735,294,220.5,3.5,0,6.77,11.73,1,0
0.69,735,294,220.5,3.5,0,6.81,11.93,1,0
0.66,759.5,318.5,220.5,3.5,0,7.18,12.4,1,1
0.66,759.5,318.5,220.5,3.5,0,7.1,12.23,1,1
0.66,759.5,318.5,220.5,3.5,0,7.1,12.4,1,0
0.66,759.5,318.5,220.5,3.5,0,7.1,12.14,1,0
0.64,784,343,220.5,3.5,0,10.85,16.78,1,1
0.64,784,343,220.5,3.5,0,10.54,16.8,1,1
0.64,784,343,220.5,3.5,0,10.77,16.75,1,0
0.64,784,343,220.5,3.5,0,10.56,16.67,1,0
0.62,808.5,367.5,220.5,3.5,0,8.6,12.07,1,1
0.62,808.5,367.5,220.5,3.5,0,8.49,12.22,1,1
0.62,808.5,367.5,220.5,3.5,0,8.45,12.08,1,0
0.62,808.5,367.5,220.5,3.5,0,8.5,12.04,1,0
0.98,514.5,294,110.25,7,0.1,24.58,26.47,1,1
0.98,514.5,294,110.25,7,0.1,24.63,26.37,1,1
0.98,514.5,294,110.25,7,0.1,24.63,26.44,1,0
0.98,514.5,294,110.25,7,0.1,24.59,26.29,1,0
0.9,563.5,318.5,122.5,7,0.1,29.03,32.92,1,1
0.9,563.5,318.5,122.5,7,0.1,29.87,29.87,1,1
0.9,563.5,318.5,122.5,7,0.1,29.14,29.58,1,0
0.9,563.5,318.5,122.5,7,0.1,28.09,34.33,1,0
0.86,588,294,147,7,0.1,26.28,30.89,1,1
0.86,588,294,147,7,0.1,26.91,25.6,1,1
0.86,588,294,147,7,0.1,26.37,27.03,1,0
0.86,588,294,147,7,0.1,25.27,31.73,1,0
0.82,612.5,318.5,147,7,0.1,23.53,27.31,1,1
0.82,612.5,318.5,147,7,0.1,24.03,24.91,1,1
0.82,612.5,318.5,147,7,0.1,23.54,24.61,1,0
0.82,612.5,318.5,147,7,0.1,22.58,28.51,1,0
0.79,637,343,147,7,0.1,35.56,41.68,1,1
0.79,637,343,147,7,0.1,37.12,35.28,1,1
0.79,637,343,147,7,0.1,36.9,34.43,1,0
0.79,637,343,147,7,0.1,35.94,43.33,1,0
0.76,661.5,416.5,122.5,7,0.1,32.96,33.87,1,1
0.76,661.5,416.5,122.5,7,0.1,32.12,34.07,1,1
0.76,661.5,416.5,122.5,7,0.1,32.94,34.14,1,0
0.76,661.5,416.5,122.5,7,0.1,32.21,33.67,1,0
0.74,686,245,220.5,3.5,0.1,10.36,13.43,1,1
0.74,686,245,220.5,3.5,0.1,10.43,13.71,1,1
0.74,686,245,220.5,3.5,0.1,10.36,13.48,1,0
0.74,686,245,220.5,3.5,0.1,10.39,13.7,1,0
0.71,710.5,269.5,220.5,3.5,0.1,10.71,13.8,1,1
0.71,710.5,269.5,220.5,3.5,0.1,10.8,14.28,1,1
0.71,710.5,269.5,220.5,3.5,0.1,10.7,13.87,1,0
0.71,710.5,269.5,220.5,3.5,0.1,10.75,14.27,1,0
0.69,735,294,220.5,3.5,0.1,11.11,14.28,1,1
