A1_1,A1_2,A1_3,A2,A3_0,A3_1,A3_2,A3_3,A4_0,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A5,A6_1,A6_2,A6_3,A6_4,A7_1,A7_2,A7_3,A7_4,A8,A9_1,A9_2,A9_3,A9_4,A10_1,A10_2,A11,A12_1,A12_2,A12_3,A14_1,A14_2,A15_1,A15_2,A16,A17_1,A17_2,A17_3,A18,A19,A20,A21,A13
1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1169,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,1,0,0,0,0,0,1,2,0,0,1,1,2,1,0,0
0,1,0,48,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5951,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1
0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2096,1,0,0,0,0,0,0,1,2,0,0,1,0,1,0,3,1,0,0,0,0,0,1,1,0,1,0,2,1,1,0,0
1,0,0,42,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7882,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,2,1,1,0,0
1,0,0,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4870,1,0,0,0,0,0,1,0,3,0,0,1,0,1,0,4,0,0,0,0,0,0,0,2,0,0,1,2,1,1,1,0
0,0,0,36,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9055,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,1,0,2,2,1,0,1
0,0,0,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2835,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,4,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
0,1,0,36,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6948,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,1,2,1,0,1
0,0,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3059,0,0,0,1,0,0,0,1,2,1,0,0,0,1,0,4,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
0,1,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5234,1,0,0,0,1,0,0,0,4,0,0,0,1,1,0,2,0,0,1,0,0,0,1,2,0,0,0,1,1,1,1,1
0,1,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1295,1,0,0,0,0,1,0,0,3,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1
1,0,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4308,1,0,0,0,0,1,0,0,3,0,1,0,0,1,0,4,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1
0,1,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1567,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,2,1,0,1
1,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1199,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,0,0,1,0,0,0,1,2,0,1,0,1,1,1,1,0
1,0,0,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1403,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,4,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1
1,0,0,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1282,0,1,0,0,0,0,1,0,4,0,1,0,0,1,0,2,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1
0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2424,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,0,1,0,0,0,0,1,2,0,0,1,1,1,1,0,0
1,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8072,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,3,0,0,1,1,0,0,1,3,0,0,1,1,1,1,0,1
0,1,0,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12579,1,0,0,0,0,0,0,0,4,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0
0,0,0,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3430,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,2,2,1,0,1
0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2134,1,0,0,0,0,0,1,0,4,0,0,1,0,1,0,4,0,0,1,0,0,0,1,3,0,0,1,1,2,1,0,0
1,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2647,0,0,1,0,0,0,1,0,2,0,0,1,0,1,0,3,1,0,0,0,0,1,0,1,0,0,1,2,1,1,0,0
1,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2241,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,1,0,0,0,0,1,0,2,0,1,0,2,1,2,0,0
0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1804,0,1,0,0,0,1,0,0,3,0,0,1,0,1,0,4,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2069,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,2,0,1
1,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1374,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,2,1,0,0,1,0,0,1,1,0,1,0,1,2,1,0,1
0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,426,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,4,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1
0,0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,409,0,0,0,1,0,0,1,0,3,0,1,0,0,1,0,3,1,0,0,0,0,1,0,2,0,0,1,1,1,1,0,0
0,1,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2415,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
1,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6836,1,0,0,0,0,0,0,0,3,0,0,1,0,1,0,4,0,0,0,0,0,0,1,2,0,0,1,1,2,1,1,0
0,1,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1913,0,0,0,1,0,1,0,0,3,0,0,0,1,1,0,3,1,0,0,1,0,0,1,1,0,0,1,1,2,1,0,1
1,0,0,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4020,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,2,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1
0,1,0,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5866,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,2,0,0,1,0,0,0,1,2,0,0,1,1,2,1,0,1
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1264,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,4,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0
0,0,1,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1474,1,0,0,0,0,1,0,0,4,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,2,1,0,1
0,1,0,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4746,1,0,0,0,0,1,0,0,4,0,0,1,0,1,0,2,0,1,0,0,0,0,1,2,0,1,0,1,1,1,1,1
0,0,0,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6110,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,3,0,0,0,1,0,0,0,1,0,0,1,1,2,1,0,1
0,0,1,18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2100,1,0,0,0,0,0,1,0,4,0,0,1,0,0,1,2,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1
0,0,1,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1225,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,1,2,1,0,1
0,1,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,458,1,0,0,0,0,0,1,0,4,0,0,1,0,1,0,3,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
0,0,0,30,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2333,0,0,1,0,0,0,0,0,4,0,0,1,0,1,0,2,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1
0,1,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1158,0,0,1,0,0,0,1,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,2,1,0,1
0,1,0,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6204,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,4,1,0,0,0,0,0,1,1,0,1,0,2,2,1,0,0
1,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6187,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,4,0,0,1,0,0,1,0,2,0,0,1,1,1,1,0,1
1,0,0,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6143,1,0,0,0,0,0,0,0,4,0,1,0,0,1,0,4,0,0,0,0,1,0,0,2,0,1,0,1,1,1,1,0
0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1393,1,0,0,0,0,1,0,0,4,0,1,0,0,1,0,4,0,0,1,0,0,0,1,2,0,0,0,1,1,1,0,1
