centerpixcol,centerpixrow,regionpixcount,shortline5,shortline2,vedgemean,vedgestdev,hedgemean,hedgestdev,intensity,rawred,rawblue,rawgreen,exred,exblue,exgreen,value,saturation,hue,DummyMain,class=path?(vs grass)
252,181,9,0,0,0.9999997,0.6324556,2.055555,2.037609,16.296297,13.555555,13.888889,21.444445,-8.222222,-7.2222223,15.444445,21.444445,0.38555545,2.141428,1,0
252,194,9,0,0,2.1666667,0.7817362,2.055556,2.0266738,18.555555,15,15.333333,25.333334,-10.666667,-9.666667,20.333334,25.333334,0.42249063,2.1265156,0,0
251,215,9,0.11111111,0,1.5000001,2.0333328,2.777778,2.518517,12.407408,9.222222,11.555555,16.444445,-9.555555,-2.5555556,12.111111,16.444445,0.4410489,2.437819,1,0
250,172,9,0,0,0.9444442,0.5074071,1.3333334,0.7111102,16.074074,12.333333,15,20.88889,-11.222222,-3.2222223,14.444445,20.88889,0.40983546,2.4177017,1,0
249,207,9,0.22222222,0,2.7222226,0.9289574,0.888889,0.27216536,12.148149,9.555555,10.333334,16.555555,-7.7777777,-5.4444447,13.222222,16.555555,0.43238926,2.2172632,0,0
248,149,9,0,0,1.166667,0.78888947,1.0555553,0.6407406,19,14.444445,19.777779,22.777779,-13.666667,2.3333333,11.333333,22.777779,0.36371678,2.7416468,1,0
247,197,9,0,0,0.33333316,0.044444434,0.611111,0.06296301,6,4.111111,4,9.888889,-5.6666665,-6,11.666667,9.888889,0.61705947,2.0749567,1,0
245,249,9,0,0,2,1.2888895,1.4999999,0.61111146,14.740741,10.777778,15.333333,18.11111,-11.888889,1.7777778,10.111111,18.11111,0.40621215,2.7435553,0,0
245,238,9,0.11111111,0,1.6666665,2.5385911,2.3333333,2.4404008,8.925926,6.3333335,6.5555553,13.888889,-7.7777777,-7.111111,14.888889,13.888889,0.59701496,2.1260629,1,0
245,176,9,0,0,1.0000006,0.516398,1,0.5577736,18.481482,15.111111,17,23.333334,-10.111111,-4.4444447,14.555555,23.333334,0.35206997,2.332243,1,0
244,193,9,0,0,2.0555556,2.225275,3.8888886,3.631141,16.185184,13.333333,14.222222,21,-8.555555,-5.888889,14.444445,21,0.37887058,2.2221026,1,0
244,211,9,0,0,1.6666666,1.3333334,2.0000002,2.311112,13.62963,10.777778,12.888889,17.222223,-8.555555,-2.2222223,10.777778,17.222223,0.3748065,2.441017,1,0
243,166,9,0,0,0.61111116,0.3296294,0.72222203,0.32962978,13.37037,11.222222,12.111111,16.777779,-6.4444447,-3.7777777,10.222222,16.777779,0.33051255,2.2642767,1,0
