"age","agesq","priors_count","sexbin","chargebin","jailtime","is_recid","racebin"
34,1156,0,1,1,10,1,1
24,576,4,1,1,1,1,1
41,1681,14,1,1,6,1,0
39,1521,0,0,0,3,0,0
27,729,0,1,1,1,0,0
23,529,3,1,0,4,1,1
37,1369,0,0,0,1,0,0
41,1681,0,1,1,1,0,1
47,2209,1,0,1,14,1,0
31,961,7,1,1,3,1,1
25,625,3,1,1,1,0,1
31,961,6,1,1,1,1,0
31,961,5,1,1,1,1,0
64,4096,13,1,1,1,1,1
21,441,1,1,1,3,1,1
27,729,0,1,0,0,1,0
21,441,0,0,1,1,0,0
43,1849,1,1,0,1,0,0
27,729,8,1,1,17,1,1
26,676,5,1,1,1,1,1
33,1089,0,1,1,38,1,1
30,900,9,1,1,44,1,0
32,1024,4,1,1,1,1,1
55,3025,0,1,1,2,0,0
33,1089,4,0,0,11,1,0
24,576,1,1,0,1,1,0
34,1156,21,1,1,33,1,1
29,841,0,1,0,0,0,0
21,441,2,0,1,80,0,1
51,2601,2,1,0,1,0,1
29,841,2,1,0,1,1,0
51,2601,7,0,1,2,0,1
29,841,0,1,1,0,1,1
25,625,9,1,0,7,1,0
35,1225,13,1,1,1,1,1
49,2401,0,1,0,0,0,0
29,841,0,1,1,0,0,1
29,841,1,1,1,0,1,0
31,961,15,1,1,136,1,1
24,576,2,1,1,2,1,1
49,2401,4,1,0,1,0,1
53,2809,8,1,1,13,0,0
35,1225,5,1,1,1,0,1
27,729,15,1,1,1,1,1
38,1444,4,1,0,2,1,0
22,484,1,1,1,1,1,1
29,841,4,1,1,19,1,1
27,729,6,1,1,30,1,1
56,3136,0,0,0,3,0,1
39,1521,1,1,0,5,0,1
29,841,5,1,1,1,1,1
27,729,1,1,1,14,1,0
40,1600,2,1,1,3,0,1
22,484,1,1,0,17,1,1
22,484,0,1,1,58,0,0
26,676,1,0,1,2,1,1
32,1024,0,1,1,1,0,1
41,1681,1,1,0,2,0,1
30,900,8,1,0,1,1,1
25,625,14,1,1,7,1,1
22,484,2,1,1,30,1,1
35,1225,1,0,0,1,0,1
36,1296,9,1,1,4,1,1
26,676,7,1,1,0,1,0
25,625,9,1,1,1,1,0
20,400,0,0,1,1,0,0
39,1521,2,1,1,0,1,0
54,2916,0,0,0,0,0,0
19,361,1,1,0,9,1,1
30,900,1,1,1,1,0,1
39,1521,0,0,1,2,1,0
24,576,8,1,1,12,1,0
30,900,0,1,1,6,0,0
31,961,0,1,0,39,0,0
39,1521,1,0,1,107,0,0
43,1849,1,1,1,1,0,0
21,441,3,1,1,6,1,1
38,1444,5,1,0,3,1,0
34,1156,0,1,1,15,0,0
33,1089,5,1,1,0,1,1
37,1369,3,1,1,1,0,1
42,1764,1,1,1,1,1,0
41,1681,10,1,1,176,1,1
22,484,0,1,1,1,1,1
33,1089,28,1,1,2,1,1
31,961,1,1,0,1,0,1
31,961,13,1,1,471,1,0
27,729,3,1,1,1,1,1
52,2704,3,1,0,1,0,0
33,1089,19,1,1,1,1,1
42,1764,6,1,1,0,0,0
25,625,2,0,1,3,0,0
30,900,1,1,0,4,0,0
28,784,0,1,0,1,1,0
24,576,0,0,0,2,0,1
29,841,10,0,1,7,1,0
44,1936,2,1,0,0,1,0
32,1024,3,1,1,8,1,1
31,961,2,1,0,15,1,0
31,961,1,1,0,1,1,1
59,3481,1,1,1,1,1,0
20,400,1,0,1,3,0,1
43,1849,0,0,0,1,0,0
38,1444,9,1,1,13,1,1
32,1024,11,1,1,1,1,1
33,1089,8,1,0,1,1,1
31,961,0,0,1,2,1,1
33,1089,7,0,1,26,1,1
27,729,2,1,1,1,1,1
20,400,0,0,1,0,0,1
26,676,0,0,0,1,0,0
61,3721,1,0,1,1,1,1
32,1024,4,0,1,7,1,1
26,676,2,0,0,1,1,1
