LeagueIndex,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed,DummyMain,>20?
5,10,3000,143.718,0.003515159,0.000219697,7,0.000109849,0.000392317,0.004849037,32.6677,40.8673,4.7508,28,0.0013966,6,0,0,0,1
5,10,5000,129.2322,0.003303812,0.000259462,4,0.000294057,0.000432436,0.004307064,32.9194,42.3454,4.8434,22,0.0011935,5,0,0.00020757,1,1
4,10,200,69.9612,0.001101091,0.000335571,4,0.000293624,0.000461409,0.002925755,44.6475,75.3548,4.043,22,0.00074455,6,0,0.00018876,1,1
3,20,400,107.6016,0.001033542,0.000213102,1,5.33E-05,0.000543409,0.003782551,29.2203,53.7352,4.9155,19,0.0004262,7,0,0.00038358,1,0
3,10,500,122.8908,0.001136014,0.000327326,2,0,0.001328558,0.002368299,22.6885,62.0813,9.374,15,0.0011745,4,0,1.93E-05,0,1
2,6,70,44.457,0.00097839,0.000255232,2,0,0,0.002424707,76.4405,98.7719,3.0965,16,0.00037221,6,0,0,1,1
1,8,240,46.9962,0.000820114,0.000168517,6,0,4.49E-05,0.001988496,94.0227,90.5311,4.1017,15,0.00057296,5,0,0,1,1
7,42,10000,212.6022,0.009039739,0.00067624,6,0.001163531,0.001253033,0.004952464,24.6117,41.7671,6.6104,45,0.0022773,9,0.000129281,0.00024862,0,0
4,14,2708,117.4884,0.002944275,0.000526771,2,1.88E-05,0.000413892,0.005399406,52.014,46.4321,3.3746,29,0.0010347,7,0.000272792,0.00047033,1,0
4,24,800,155.9856,0.005053908,0.000524109,8,2.50E-05,0.000399321,0.003568933,24.4632,52.1538,6.5664,27,0.0013103,6,0,0,1,0
3,16,6000,153.801,0.001676615,0.000318557,4,0,0.000821541,0.003772383,23.4107,48.0711,7.0044,24,0.0015928,7,0,1.68E-05,1,0
4,4,190,79.2948,0.000378539,0.000255102,3,1.65E-05,0.000164582,0.00355497,39.6381,65.5,4.2269,19,0.00075708,7,0.000106978,0.00026333,0,1
3,12,350,67.4754,0.000422522,0.000169009,1,2.41E-05,0.000144865,0.002885219,42.437,68.0502,4.3222,16,0.00074847,7,0,0.00043459,1,0
3,6,1000,119.4366,0.004952043,5.21E-05,2,8.69E-05,3.48E-05,0.002727968,54.8718,79.2102,6.2293,21,0.0014943,5,0,0,0,1
5,30,5000,160.4754,0.00425386,0.000431735,2,0.000774584,0.000406339,0.004571313,36.2897,46.8889,5.4361,28,0.0019809,7,0,0,0,0
5,16,1500,81.7722,0.002333484,0.000430449,4,0,0.000249207,0.002899864,45.1654,64.75,4.5312,15,0.001246,6,0,0.00022655,0,0
4,8,2000,50.8374,0.000664109,0.00022137,1,1.84E-05,0.00014758,0.002656435,45.7902,76.8889,3.5,13,0.00066411,6,0,0.00029516,1,1
5,10,120,160.6464,0.003430344,0.000633631,7,0,9.47E-05,0.005535163,28.3636,37.7947,4.7671,29,0.0027676,10,8.74E-05,0.00010196,1,0
